##### auto-generated by ParameterCache ####### 
##### printed on Tue Nov 24 14:54:15 2020 ######
# ParameterName                  value       errLow      errHigh

----- SOLUTION 0 -----
### FCN: -1.97173e-05, EDM: 919.925
### COV quality: 3, status: 0, confirmed: yes
n2_Brem_LL                    3.931920     1.000000    -1.000000
n2_NoBrem_DD                  2.316996     1.000000    -1.000000
n2_NoBrem_LL                  0.913920     1.000000    -1.000000
n_Brem_DD                     3.645530     1.000000    -1.000000
n_Brem_LL                     4.314018     1.000000    -1.000000
n_NoBrem_DD                   2.600202     1.000000    -1.000000
n_NoBrem_LL                   2.997725     1.000000    -1.000000
s_Brem_DD                    34.744659    -0.975642     0.975642
s_Brem_LL                    32.534081    -0.934813     0.934813
s_NoBrem_DD                  20.177177    -0.689974     0.689974
s_NoBrem_LL                  23.135117    -0.823279     0.823279
sigma_BFnorm                  0.000012     1.000000    -1.000000
sigma_Nnorm               149499.062500     1.000000    -1.000000
sigma_a2_Brem_DD              0.038922     1.000000    -1.000000
sigma_a2_Brem_LL              0.038274     1.000000    -1.000000
sigma_a2_NoBrem_DD            0.081296     1.000000    -1.000000
sigma_a2_NoBrem_LL            0.365147     1.000000    -1.000000
sigma_a_Brem_DD               0.030887     1.000000    -1.000000
sigma_a_Brem_LL               0.028910     1.000000    -1.000000
sigma_a_NoBrem_DD             0.001482     1.000000    -1.000000
sigma_a_NoBrem_LL             0.004202     1.000000    -1.000000
sigma_eff_norm_DD_Run1        0.000032     1.000000    -1.000000
sigma_eff_norm_DD_Run2        0.000051     1.000000    -1.000000
sigma_eff_norm_LL_Run1        0.000028     1.000000    -1.000000
sigma_eff_norm_LL_Run2        0.000047     1.000000    -1.000000
sigma_eff_sig_Brem_DD_Run1     0.000012     1.000000    -1.000000
sigma_eff_sig_Brem_DD_Run2     0.000013     1.000000    -1.000000
sigma_eff_sig_Brem_LL_Run1     0.000014     1.000000    -1.000000
sigma_eff_sig_Brem_LL_Run2     0.000026     1.000000    -1.000000
sigma_eff_sig_NoBrem_DD_Run1     0.000009     1.000000    -1.000000
sigma_eff_sig_NoBrem_DD_Run2     0.000014     1.000000    -1.000000
sigma_eff_sig_NoBrem_LL_Run1     0.000010     1.000000    -1.000000
sigma_eff_sig_NoBrem_LL_Run2     0.000024     1.000000    -1.000000
sigma_frac_DD_run1            0.015408     1.000000    -1.000000
sigma_frac_DD_run2            0.014394     1.000000    -1.000000
sigma_frac_brem_run1_DD       0.009842     1.000000    -1.000000
sigma_frac_brem_run1_LL       0.016682     1.000000    -1.000000
sigma_frac_brem_run2_DD       0.007174     1.000000    -1.000000
sigma_frac_brem_run2_LL       0.011781     1.000000    -1.000000
sigma_frac_run1               0.003095     1.000000    -1.000000
sigma_m_Brem_DD               0.695668     1.000000    -1.000000
sigma_m_Brem_LL               1.197023     1.000000    -1.000000
sigma_m_NoBrem_DD             0.483027     1.000000    -1.000000
sigma_m_NoBrem_LL             0.741129     1.000000    -1.000000
sigma_s_Brem_DD               1.670894     1.000000    -1.000000
sigma_s_Brem_LL               1.462566     1.000000    -1.000000
sigma_s_NoBrem_DD             0.841097     1.000000    -1.000000
sigma_s_NoBrem_LL             1.381648     1.000000    -1.000000
tau_a_Brem_DD_Run1           -0.000000    -0.000000     0.000000
tau_a_Brem_DD_Run2           -0.002155    -0.000026     0.000026
tau_a_Brem_LL_Run1           -0.002401    -0.000029     0.000029
tau_a_Brem_LL_Run2           -0.002860    -0.000035     0.000035
tau_a_NoBrem_DD_Run1         -0.001920    -0.000023     0.000023
tau_a_NoBrem_DD_Run2         -0.000000    -0.000000     0.000000
tau_a_NoBrem_LL_Run1         -0.002700    -0.000033     0.000033
tau_a_NoBrem_LL_Run2         -0.002796    -0.000034     0.000034
tau_b_Brem_DD_Run1           -0.004713    -0.000426     0.000426
tau_b_Brem_DD_Run2           -0.001700    -0.000202     0.000202
tau_b_Brem_LL_Run1           -0.002165    -0.000260     0.000260
tau_b_Brem_LL_Run2           -0.002733    -0.000316     0.000316
tau_b_NoBrem_DD_Run1         -0.001749    -0.000209     0.000209
tau_b_NoBrem_DD_Run2         -0.002837    -0.000201     0.000201
tau_b_NoBrem_LL_Run1         -0.002609    -0.000304     0.000304
tau_b_NoBrem_LL_Run2         -0.001000    -0.000015     0.000015
